GPU,Backend,Buffering,Iters,Items,Time
MI250,cxi-coarse,db,100000,8,1.95954
MI250,cxi-coarse,sb,100000,8,1.91613
MI250,cxi-fine,db,100000,8,1.69342
MI250,cxi-fine,sb,100000,8,1.71668
MI250,mpi,db,100000,8,3.17969
MI250,mpi,sb,100000,8,3.30094
MI250,cxi-coarse,db,100000,16,1.96435
MI250,cxi-coarse,sb,100000,16,1.93405
MI250,cxi-fine,db,100000,16,1.7053
MI250,cxi-fine,sb,100000,16,1.72192
MI250,mpi,db,100000,16,3.19915
MI250,mpi,sb,100000,16,3.18773
MI250,cxi-coarse,db,100000,32,1.9612
MI250,cxi-coarse,sb,100000,32,1.93606
MI250,cxi-fine,db,100000,32,1.70799
MI250,cxi-fine,sb,100000,32,1.73368
MI250,mpi,db,100000,32,3.30872
MI250,mpi,sb,100000,32,3.2937
MI250,cxi-coarse,db,100000,64,1.97799
MI250,cxi-coarse,sb,100000,64,1.93082
MI250,cxi-fine,db,100000,64,1.71784
MI250,cxi-fine,sb,100000,64,1.73248
MI250,mpi,db,100000,64,3.29573
MI250,mpi,sb,100000,64,3.31112
MI250,cxi-coarse,db,100000,128,1.98276
MI250,cxi-coarse,sb,100000,128,1.96406
MI250,cxi-fine,db,100000,128,1.73752
MI250,cxi-fine,sb,100000,128,1.74534
MI250,mpi,db,100000,128,3.32089
MI250,mpi,sb,100000,128,3.32238
MI250,cxi-coarse,db,100000,256,1.98964
MI250,cxi-coarse,sb,100000,256,1.98186
MI250,cxi-fine,db,100000,256,1.76302
MI250,cxi-fine,sb,100000,256,1.76793
MI250,mpi,db,100000,256,3.46937
MI250,mpi,sb,100000,256,3.35784
MI250,cxi-coarse,db,100000,512,2.01373
MI250,cxi-coarse,sb,100000,512,2.00435
MI250,cxi-fine,db,100000,512,1.7811
MI250,cxi-fine,sb,100000,512,1.80313
MI250,mpi,db,100000,512,3.92221
MI250,mpi,sb,100000,512,3.43027
MI250,cxi-coarse,db,100000,1024,2.03498
MI250,cxi-coarse,sb,100000,1024,2.02009
MI250,cxi-fine,db,100000,1024,1.7913
MI250,cxi-fine,sb,100000,1024,1.81579
MI250,mpi,db,100000,1024,3.85986
MI250,mpi,sb,100000,1024,3.51588
MI250,cxi-coarse,db,100000,2048,2.12059
MI250,cxi-coarse,sb,100000,2048,2.10564
MI250,cxi-fine,db,100000,2048,1.87308
MI250,cxi-fine,sb,100000,2048,1.91339
MI250,mpi,db,100000,2048,4.15356
MI250,mpi,sb,100000,2048,3.68278
MI250,cxi-coarse,db,100000,4096,2.21958
MI250,cxi-coarse,sb,100000,4096,2.18957
MI250,cxi-fine,db,100000,4096,1.97818
MI250,cxi-fine,sb,100000,4096,2.02056
MI250,mpi,db,100000,4096,4.1349
MI250,mpi,sb,100000,4096,3.79912
MI250,cxi-coarse,db,100000,8192,2.35741
MI250,cxi-coarse,sb,100000,8192,2.33999
MI250,cxi-fine,db,100000,8192,2.12246
MI250,cxi-fine,sb,100000,8192,2.14442
MI250,mpi,db,100000,8192,4.88435
MI250,mpi,sb,100000,8192,4.62719
MI250,cxi-coarse,db,100000,16384,2.66766
MI250,cxi-coarse,sb,100000,16384,2.62122
MI250,cxi-fine,db,100000,16384,2.43376
MI250,cxi-fine,sb,100000,16384,2.44602
MI250,mpi,db,100000,16384,5.09745
MI250,mpi,sb,100000,16384,4.74072
MI250,cxi-coarse,db,100000,32768,3.19583
MI250,cxi-coarse,sb,100000,32768,3.17469
MI250,cxi-fine,db,100000,32768,2.95702
MI250,cxi-fine,sb,100000,32768,2.98566
MI250,mpi,db,100000,32768,5.65367
MI250,mpi,sb,100000,32768,5.3925
MI250,cxi-coarse,db,100000,65536,4.33138
MI250,cxi-coarse,sb,100000,65536,4.35979
MI250,cxi-fine,db,100000,65536,4.08839
MI250,cxi-fine,sb,100000,65536,4.14311
MI250,mpi,db,100000,65536,6.76878
MI250,mpi,sb,100000,65536,6.42952
MI250,cxi-coarse,db,100000,131072,6.80609
MI250,cxi-coarse,sb,100000,131072,6.81719
MI250,cxi-fine,db,100000,131072,6.57934
MI250,cxi-fine,sb,100000,131072,6.54774
MI250,mpi,db,100000,131072,9.13456
MI250,mpi,sb,100000,131072,8.68081
MI250,cxi-coarse,db,100000,262144,11.4671
MI250,cxi-coarse,sb,100000,262144,11.4438
MI250,cxi-fine,db,100000,262144,11.1763
MI250,cxi-fine,sb,100000,262144,11.1526
MI250,mpi,db,100000,262144,13.5183
MI250,mpi,sb,100000,262144,13.3532
MI250,cxi-coarse,db,100000,524288,20.9665
MI250,cxi-coarse,sb,100000,524288,20.952
MI250,cxi-fine,db,100000,524288,20.5225
MI250,cxi-fine,sb,100000,524288,20.5014
MI250,mpi,db,100000,524288,22.7572
MI250,mpi,sb,100000,524288,22.4138
MI250,cxi-coarse,db,10000,1048576,3.98481
MI250,cxi-coarse,sb,10000,1048576,3.98158
MI250,cxi-fine,db,10000,1048576,3.9289
MI250,cxi-fine,sb,10000,1048576,3.92454
MI250,mpi,db,10000,1048576,4.10895
MI250,mpi,sb,10000,1048576,4.07675
MI250,cxi-coarse,db,10000,2097152,7.73834
MI250,cxi-coarse,sb,10000,2097152,7.73784
MI250,cxi-fine,db,10000,2097152,7.67139
MI250,cxi-fine,sb,10000,2097152,7.66657
MI250,mpi,db,10000,2097152,7.79348
MI250,mpi,sb,10000,2097152,7.74871
MI250,cxi-coarse,db,10000,4194304,15.2367
MI250,cxi-coarse,sb,10000,4194304,15.2322
MI250,cxi-fine,db,10000,4194304,15.16
MI250,cxi-fine,sb,10000,4194304,15.1534
MI250,mpi,db,10000,4194304,15.2175
MI250,mpi,sb,10000,4194304,15.1703
MI250,cxi-coarse,db,10000,8388608,30.2081
MI250,cxi-coarse,sb,10000,8388608,30.2027
MI250,cxi-fine,db,10000,8388608,30.1301
MI250,cxi-fine,sb,10000,8388608,30.1194
MI250,mpi,db,10000,8388608,30.0677
MI250,mpi,sb,10000,8388608,30.0335
MI250,cxi-coarse,db,1000,16777216,6.01425
MI250,cxi-coarse,sb,1000,16777216,6.01571
MI250,cxi-fine,db,1000,16777216,6.00749
MI250,cxi-fine,sb,1000,16777216,6.00885
MI250,mpi,db,1000,16777216,6.0179
MI250,mpi,sb,1000,16777216,6.01464
MI250,cxi-coarse,db,1000,33554432,12.0157
MI250,cxi-coarse,sb,1000,33554432,11.9984
MI250,cxi-fine,db,1000,33554432,11.9996
MI250,cxi-fine,sb,1000,33554432,11.9912
MI250,mpi,db,1000,33554432,11.9429
MI250,mpi,sb,1000,33554432,11.9443
MI250,cxi-coarse,db,1000,67108864,23.9995
MI250,cxi-coarse,sb,1000,67108864,23.9914
MI250,cxi-fine,db,1000,67108864,23.9857
MI250,cxi-fine,sb,1000,67108864,23.9717
MI250,mpi,db,1000,67108864,23.7938
MI250,mpi,sb,1000,67108864,23.7936
MI250,cxi-coarse,db,1000,134217728,47.9429
MI250,cxi-coarse,sb,1000,134217728,47.9505
MI250,cxi-fine,db,1000,134217728,47.918
MI250,cxi-fine,sb,1000,134217728,47.9359
MI250,mpi,db,1000,134217728,47.5017
MI250,mpi,sb,1000,134217728,47.4972
MI250,cxi-coarse,db,1000,268435456,95.8591
MI250,cxi-coarse,sb,1000,268435456,95.8814
MI250,cxi-fine,db,1000,268435456,95.8333
MI250,cxi-fine,sb,1000,268435456,95.823
MI250,mpi,db,1000,268435456,94.8986
MI250,mpi,sb,1000,268435456,94.8956
MI250,cxi-coarse,db,100000,8,2.26403
MI250,cxi-coarse,sb,100000,8,2.46565
MI250,cxi-fine,db,100000,8,2.01167
MI250,cxi-fine,sb,100000,8,2.34329
MI250,mpi,db,100000,8,3.50439
MI250,mpi,sb,100000,8,3.50037
MI250,cxi-coarse,db,100000,16,2.24615
MI250,cxi-coarse,sb,100000,16,2.46886
MI250,cxi-fine,db,100000,16,2.00454
MI250,cxi-fine,sb,100000,16,2.32434
MI250,mpi,db,100000,16,3.58542
MI250,mpi,sb,100000,16,3.49857
MI250,cxi-coarse,db,100000,32,2.25646
MI250,cxi-coarse,sb,100000,32,2.483
MI250,cxi-fine,db,100000,32,2.00722
MI250,cxi-fine,sb,100000,32,2.34522
MI250,mpi,db,100000,32,3.6189
MI250,mpi,sb,100000,32,3.72066
MI250,cxi-coarse,db,100000,64,2.2658
MI250,cxi-coarse,sb,100000,64,2.47997
MI250,cxi-fine,db,100000,64,2.02105
MI250,cxi-fine,sb,100000,64,2.35038
MI250,mpi,db,100000,64,3.61002
MI250,mpi,sb,100000,64,3.60936
MI250,cxi-coarse,db,100000,128,2.28051
MI250,cxi-coarse,sb,100000,128,2.49559
MI250,cxi-fine,db,100000,128,2.03785
MI250,cxi-fine,sb,100000,128,2.35797
MI250,mpi,db,100000,128,3.71473
MI250,mpi,sb,100000,128,3.71628
MI250,cxi-coarse,db,100000,256,2.28876
MI250,cxi-coarse,sb,100000,256,2.50059
MI250,cxi-fine,db,100000,256,2.05255
MI250,cxi-fine,sb,100000,256,2.36915
MI250,mpi,db,100000,256,3.6666
MI250,mpi,sb,100000,256,3.73313
MI250,cxi-coarse,db,100000,512,2.33482
MI250,cxi-coarse,sb,100000,512,2.55375
MI250,cxi-fine,db,100000,512,2.08528
MI250,cxi-fine,sb,100000,512,2.41143
MI250,mpi,db,100000,512,4.00976
MI250,mpi,sb,100000,512,3.82895
MI250,cxi-coarse,db,100000,1024,2.35005
MI250,cxi-coarse,sb,100000,1024,2.54891
MI250,cxi-fine,db,100000,1024,2.09477
MI250,cxi-fine,sb,100000,1024,2.44506
MI250,mpi,db,100000,1024,4.25331
MI250,mpi,sb,100000,1024,3.90477
MI250,cxi-coarse,db,100000,2048,2.42208
MI250,cxi-coarse,sb,100000,2048,2.65304
MI250,cxi-fine,db,100000,2048,2.1892
MI250,cxi-fine,sb,100000,2048,2.53776
MI250,mpi,db,100000,2048,4.27596
MI250,mpi,sb,100000,2048,3.98175
MI250,cxi-coarse,db,100000,4096,2.58794
MI250,cxi-coarse,sb,100000,4096,2.79358
MI250,cxi-fine,db,100000,4096,2.3217
MI250,cxi-fine,sb,100000,4096,2.6856
MI250,mpi,db,100000,4096,4.44757
MI250,mpi,sb,100000,4096,4.13524
MI250,cxi-coarse,db,100000,8192,2.87624
MI250,cxi-coarse,sb,100000,8192,3.03096
MI250,cxi-fine,db,100000,8192,2.63201
MI250,cxi-fine,sb,100000,8192,2.89683
MI250,mpi,db,100000,8192,6.0083
MI250,mpi,sb,100000,8192,5.79714
MI250,cxi-coarse,db,100000,16384,3.23683
MI250,cxi-coarse,sb,100000,16384,3.38215
MI250,cxi-fine,db,100000,16384,3.01056
MI250,cxi-fine,sb,100000,16384,3.21014
MI250,mpi,db,100000,16384,6.48289
MI250,mpi,sb,100000,16384,5.92612
MI250,cxi-coarse,db,100000,32768,3.80346
MI250,cxi-coarse,sb,100000,32768,4.00862
MI250,cxi-fine,db,100000,32768,3.56279
MI250,cxi-fine,sb,100000,32768,3.81576
MI250,mpi,db,100000,32768,6.68559
MI250,mpi,sb,100000,32768,6.55386
MI250,cxi-coarse,db,100000,65536,5.16874
MI250,cxi-coarse,sb,100000,65536,5.36596
MI250,cxi-fine,db,100000,65536,4.89541
MI250,cxi-fine,sb,100000,65536,5.15254
MI250,mpi,db,100000,65536,8.14113
MI250,mpi,sb,100000,65536,7.7507
MI250,cxi-coarse,db,100000,131072,7.90025
MI250,cxi-coarse,sb,100000,131072,7.98211
MI250,cxi-fine,db,100000,131072,7.6309
MI250,cxi-fine,sb,100000,131072,7.82899
MI250,mpi,db,100000,131072,10.4241
MI250,mpi,sb,100000,131072,10.0608
MI250,cxi-coarse,db,100000,262144,13.2882
MI250,cxi-coarse,sb,100000,262144,13.2727
MI250,cxi-fine,db,100000,262144,13.0035
MI250,cxi-fine,sb,100000,262144,13.1711
MI250,mpi,db,100000,262144,15.15
MI250,mpi,sb,100000,262144,15.0445
MI250,cxi-coarse,db,100000,524288,24.0086
MI250,cxi-coarse,sb,100000,524288,23.9206
MI250,cxi-fine,db,100000,524288,23.6117
MI250,cxi-fine,sb,100000,524288,23.5945
MI250,mpi,db,100000,524288,24.9123
MI250,mpi,sb,100000,524288,24.5838
MI250,cxi-coarse,db,10000,1048576,4.54435
MI250,cxi-coarse,sb,10000,1048576,4.55029
MI250,cxi-fine,db,10000,1048576,4.4848
MI250,cxi-fine,sb,10000,1048576,4.48168
MI250,mpi,db,10000,1048576,4.4259
MI250,mpi,sb,10000,1048576,4.40394
MI250,cxi-coarse,db,10000,2097152,8.80508
MI250,cxi-coarse,sb,10000,2097152,8.81526
MI250,cxi-fine,db,10000,2097152,8.7501
MI250,cxi-fine,sb,10000,2097152,8.7622
MI250,mpi,db,10000,2097152,8.36028
MI250,mpi,sb,10000,2097152,8.33002
MI250,cxi-coarse,db,10000,4194304,17.43
MI250,cxi-coarse,sb,10000,4194304,17.4505
MI250,cxi-fine,db,10000,4194304,17.2887
MI250,cxi-fine,sb,10000,4194304,17.3436
MI250,mpi,db,10000,4194304,16.2041
MI250,mpi,sb,10000,4194304,16.1309
MI250,cxi-coarse,db,10000,8388608,34.5021
MI250,cxi-coarse,sb,10000,8388608,34.5542
MI250,cxi-fine,db,10000,8388608,34.5204
MI250,cxi-fine,sb,10000,8388608,34.4274
MI250,mpi,db,10000,8388608,31.9194
MI250,mpi,sb,10000,8388608,31.8877
MI250,cxi-coarse,db,1000,16777216,6.90031
MI250,cxi-coarse,sb,1000,16777216,6.86381
MI250,cxi-fine,db,1000,16777216,6.86951
MI250,cxi-fine,sb,1000,16777216,6.86053
MI250,mpi,db,1000,16777216,6.37962
MI250,mpi,sb,1000,16777216,6.37742
MI250,cxi-coarse,db,1000,33554432,13.7924
MI250,cxi-coarse,sb,1000,33554432,13.804
MI250,cxi-fine,db,1000,33554432,13.7368
MI250,cxi-fine,sb,1000,33554432,13.6541
MI250,mpi,db,1000,33554432,12.6299
MI250,mpi,sb,1000,33554432,12.6574
MI250,cxi-coarse,db,1000,67108864,27.6062
MI250,cxi-coarse,sb,1000,67108864,27.4825
MI250,cxi-fine,db,1000,67108864,27.491
MI250,cxi-fine,sb,1000,67108864,27.4881
MI250,mpi,db,1000,67108864,25.2149
MI250,mpi,sb,1000,67108864,25.1611
MI250,cxi-coarse,db,1000,134217728,54.8715
MI250,cxi-coarse,sb,1000,134217728,55.0163
MI250,cxi-fine,db,1000,134217728,54.9334
MI250,cxi-fine,sb,1000,134217728,55.0969
MI250,mpi,db,1000,134217728,50.3075
MI250,mpi,sb,1000,134217728,50.3054
MI250,cxi-coarse,db,1000,268435456,110.346
MI250,cxi-coarse,sb,1000,268435456,110.753
MI250,cxi-fine,db,1000,268435456,110.516
MI250,cxi-fine,sb,1000,268435456,110.239
MI250,mpi,db,1000,268435456,100.476
MI250,mpi,sb,1000,268435456,100.515
MI250,cxi-coarse,db,100000,8,1.96066
MI250,cxi-coarse,sb,100000,8,1.93788
MI250,cxi-fine,db,100000,8,1.70214
MI250,cxi-fine,sb,100000,8,1.72357
MI250,mpi,db,100000,8,3.27098
MI250,mpi,sb,100000,8,3.28217
MI250,cxi-coarse,db,100000,16,1.97132
MI250,cxi-coarse,sb,100000,16,1.9288
MI250,cxi-fine,db,100000,16,1.70014
MI250,cxi-fine,sb,100000,16,1.72328
MI250,mpi,db,100000,16,3.28853
MI250,mpi,sb,100000,16,3.2686
MI250,cxi-coarse,db,100000,32,1.96637
MI250,cxi-coarse,sb,100000,32,1.9337
MI250,cxi-fine,db,100000,32,1.71861
MI250,cxi-fine,sb,100000,32,1.72795
MI250,mpi,db,100000,32,3.30421
MI250,mpi,sb,100000,32,3.29747
MI250,cxi-coarse,db,100000,64,1.9761
MI250,cxi-coarse,sb,100000,64,1.94425
MI250,cxi-fine,db,100000,64,1.71918
MI250,cxi-fine,sb,100000,64,1.73715
MI250,mpi,db,100000,64,3.40069
MI250,mpi,sb,100000,64,3.28736
MI250,cxi-coarse,db,100000,128,1.98587
MI250,cxi-coarse,sb,100000,128,1.9673
MI250,cxi-fine,db,100000,128,1.74103
MI250,cxi-fine,sb,100000,128,1.74835
MI250,mpi,db,100000,128,3.33781
MI250,mpi,sb,100000,128,3.41882
MI250,cxi-coarse,db,100000,256,2.00155
MI250,cxi-coarse,sb,100000,256,1.9793
MI250,cxi-fine,db,100000,256,1.75814
MI250,cxi-fine,sb,100000,256,1.76833
MI250,mpi,db,100000,256,3.38578
MI250,mpi,sb,100000,256,3.35913
MI250,cxi-coarse,db,100000,512,2.02479
MI250,cxi-coarse,sb,100000,512,2.00678
MI250,cxi-fine,db,100000,512,1.78514
MI250,cxi-fine,sb,100000,512,1.80511
MI250,mpi,db,100000,512,3.79755
MI250,mpi,sb,100000,512,3.43661
MI250,cxi-coarse,db,100000,1024,2.04071
MI250,cxi-coarse,sb,100000,1024,2.01747
MI250,cxi-fine,db,100000,1024,1.78995
MI250,cxi-fine,sb,100000,1024,1.81302
MI250,mpi,db,100000,1024,3.86323
MI250,mpi,sb,100000,1024,3.51131
MI250,cxi-coarse,db,100000,2048,2.1245
MI250,cxi-coarse,sb,100000,2048,2.12114
MI250,cxi-fine,db,100000,2048,1.88133
MI250,cxi-fine,sb,100000,2048,1.90379
MI250,mpi,db,100000,2048,4.05416
MI250,mpi,sb,100000,2048,3.79326
MI250,cxi-coarse,db,100000,4096,2.22668
MI250,cxi-coarse,sb,100000,4096,2.20249
MI250,cxi-fine,db,100000,4096,1.99149
MI250,cxi-fine,sb,100000,4096,2.01774
MI250,mpi,db,100000,4096,3.95544
MI250,mpi,sb,100000,4096,3.77731
MI250,cxi-coarse,db,100000,8192,2.36608
MI250,cxi-coarse,sb,100000,8192,2.3458
MI250,cxi-fine,db,100000,8192,2.1259
MI250,cxi-fine,sb,100000,8192,2.15488
MI250,mpi,db,100000,8192,4.9001
MI250,mpi,sb,100000,8192,4.62969
MI250,cxi-coarse,db,100000,16384,2.67027
MI250,cxi-coarse,sb,100000,16384,2.62897
MI250,cxi-fine,db,100000,16384,2.43887
MI250,cxi-fine,sb,100000,16384,2.44173
MI250,mpi,db,100000,16384,5.04239
MI250,mpi,sb,100000,16384,4.65352
MI250,cxi-coarse,db,100000,32768,3.20518
MI250,cxi-coarse,sb,100000,32768,3.1812
MI250,cxi-fine,db,100000,32768,2.95656
MI250,cxi-fine,sb,100000,32768,2.98257
MI250,mpi,db,100000,32768,5.66109
MI250,mpi,sb,100000,32768,5.311
MI250,cxi-coarse,db,100000,65536,4.32908
MI250,cxi-coarse,sb,100000,65536,4.38425
